"patch","date","nmin_30","nmin_60","nmin_90","doy","crop"
12,2020-08-04,11.3733333333333,3.34333333333333,2.23666666666667,217,"Pha"
13,2020-08-04,56.3,5.53,3.65,217,"SOats"
19,2020-09-24,39.3633333333333,5.27333333333333,3.96333333333333,268,"Soy"
20,2020-10-21,41.4033333333333,36.9066666666667,5.32333333333333,295,"Maiz"
21,2020-08-04,56.92,6.26,6.63,217,"SOats"
39,2020-08-04,66.7366666666667,6.58666666666667,5.65666666666667,217,"SOats"
40,2020-08-04,13.4466666666667,4.51666666666667,4.79666666666667,217,"Pha"
49,2020-08-04,54.6733333333333,7.56666666666667,6.57,217,"SOats"
50,2020-10-21,41.28,39.57,3.13,295,"Maiz"
51,2020-08-04,10.6633333333333,3.86333333333333,2.69333333333333,217,"Pha"
58,2020-09-24,38.86,6.00333333333333,2.52,268,"Soy"
59,2020-08-04,18.4933333333333,3.10666666666667,2.29333333333333,217,"Lup"
60,2020-08-04,30.9366666666667,2.45333333333333,0.413333333333333,217,"Pha"
65,2020-09-24,46.8433333333333,8.02666666666667,5.9,268,"Soy"
66,2020-08-04,10.5533333333333,1.23333333333333,1.05333333333333,217,"Pha"
68,2020-10-21,37.8133333333333,14.2233333333333,15.56,295,"Maiz"
73,2020-08-04,48.2066666666667,4.44333333333333,3.92,217,"SOats"
74,2020-10-21,57.2633333333333,29.8433333333333,6.85666666666667,295,"Maiz"
76,2020-09-18,91.93,6.68,2.80333333333333,262,"Sun"
81,2020-08-04,46.8733333333333,3.26,3.41666666666667,217,"SOats"
89,2020-08-04,9.48666666666667,3.96333333333333,5.07333333333333,217,"Lup"
90,2020-10-21,52.1333333333333,17.6633333333333,8.59666666666667,295,"Maiz"
95,2020-09-18,51.9866666666667,6.75333333333333,1.5,262,"Sun"
96,2020-08-04,13.57,3.89666666666667,4.29333333333333,217,"Pha"
102,2020-08-04,13.3166666666667,3.85,5.51666666666667,217,"Pha"
105,2020-08-04,13.83,4.48,3.76666666666667,217,"Pha"
110,2020-10-21,36.9166666666667,30.1166666666667,13.5833333333333,295,"Maiz"
114,2020-08-04,11.4166666666667,3.38333333333333,4.33333333333333,217,"Pha"
115,2020-09-18,43.2866666666667,5.17333333333333,3.34,262,"Sun"
