"patch","date","nmin_90","doy","crop","sm_30","sm_60","sm_90"
12,2020-11-11,3.47333333333333,316,"CC1",28.1370072481804,21.3199901177457,17.6699848286148
51,2020-11-11,4.75,316,"CC1",12.9604589403364,11.4015466393707,10.8572735222698
59,2020-11-11,20.2433333333333,316,"Rye",14.7176292632571,11.1299624988904,14.6097575971006
60,2020-11-11,1.84666666666667,316,"CC1",20.3799240636869,13.0849719717185,10.2804008183103
66,2020-11-11,2.4,316,"CC1",21.4307203283487,19.2026321143234,14.0619508740594
73,2020-11-11,11.12,316,"Rap",27.7303966074452,22.0640764532763,22.7145441590043
76,2020-11-11,29.28,316,"WOats",18.9766476209585,13.4084162402301,9.83988040827272
81,2020-11-11,39.08,316,"Bar",23.6584016041826,20.4604099536691,22.3030579418627
89,2020-11-11,18.0366666666667,316,"Rye",16.9337349373952,15.0780102804459,17.6617319629394
95,2020-11-11,13.7966666666667,316,"WOats",14.7072003624272,10.1194766599782,9.83108231643349
96,2020-11-11,5.86,316,"CC1",15.2094495681273,10.2095134262135,11.4943564852555
102,2020-11-11,3.05,316,"CC1",15.8949974673912,11.584431794929,11.2757881289699
105,2020-11-11,2.22333333333333,316,"CC1",16.8095896848794,13.0572996217826,16.1689194439879
114,2020-11-11,3.39,316,"CC1",16.0338961215641,13.7824745991624,19.1648317097797
115,2020-11-11,18.5766666666667,316,"WOats",17.1174676642972,14.1219603024434,11.3875439355714
12,2021-02-02,10.5133333333333,33,"CC1",28.5334339357787,22.660821275958,24.2879238291162
21,2021-02-02,6.91333333333333,33,"Rap",28.1129552831228,21.8074808095986,23.2987368974908
39,2021-02-02,12.14,33,"Rap",30.9534563535546,28.283938136081,26.337922156012
40,2021-02-02,5.35666666666667,33,"CC1",21.3734115305284,19.8740870005755,20.2960392568158
49,2021-02-02,15.6033333333333,33,"Bar",25.9247567812997,22.8553993484425,24.5998087105546
51,2021-02-02,0.733333333333333,33,"CC1",14.8465968298468,11.9011098422041,11.7973971573664
58,2021-02-02,18.1866666666667,33,"CC2",26.726932257108,22.2050183193729,23.601947665927
59,2021-02-02,6.29,33,"Rye",15.1941338909058,11.645784424121,15.4406020978112
