patch,Aspect_1m,DEM_1m,Slope_1m,TWI
12.0,62.359627,80.96,1.6974497,4.2121434
13.0,85.596664,80.89,1.8668156,4.52244
19.0,60.945396,78.88,2.2109225,6.087723
20.0,91.84943,79.5,2.2202392,7.0344896
21.0,186.63504,77.64,3.0973403,4.3031917
39.0,256.4272,76.14,2.1354916,7.777892
40.0,173.67473,74.38,0.64869124,10.542628
49.0,0.0,77.08,1.4321835,4.7876196
50.0,140.4368,75.26,2.1358428,4.898529
51.0,142.12099,72.66,0.81654674,4.944166
58.0,109.97992,75.08,1.6760719,6.965665
59.0,126.46646,72.13,2.047798,6.1038136
60.0,319.39972,72.4,2.6392844,6.86139
65.0,33.66317,73.35,0.51652324,7.0116086
66.0,90.0046,72.95,2.7193222,5.8198705
68.0,110.22955,71.21,1.4497089,6.0747347
73.0,199.29083,74.02,3.0325541,5.8825154
74.0,196.70004,72.06,1.4949938,6.8241205
76.0,146.28304,70.67,0.51658386,5.4020534
81.0,142.12816,74.82,2.448353,4.944151
89.0,128.29315,71.99,1.7330164,7.3268886
90.0,183.36948,70.16,1.2195559,5.236072
95.0,159.44875,70.74,1.2238753,7.0242953
96.0,144.45996,70.21,0.61588645,4.5330696
102.0,89.98907,69.8,1.1455706,5.298674
105.0,84.80127,70.43,0.79113495,4.282639
110.0,279.45758,70.19,1.7419513,5.690326
114.0,82.691864,70.0,2.813887,6.1040874
115.0,135.0,67.78,0.8104037,5.357184
119.0,299.05707,69.33,1.4743903,5.0462446
