"patch","doy","crop","sm_30","sm_60","sm_90","band_1","band_2","band_3","band_4","band_5","band_6","band_7","band_8","Aspect_1m","DEM_1m","Slope_1m","TWI","lon","lat","cluster","NDVI","GNDVI","EVI","NDRE","MCARI","LCCI","nmin_90"
"12",316,"CC1",26.6167756368237,20.7943305596182,17.2641081880573,NA,458,NA,703,NA,532,NA,2371,62.359627,80.96,1.6974497,4.2121434,14.134927465579,52.4464441423173,5,0.633482604202549,0.542615484710475,2.15946453734147,NA,NA,NA,3.47333333333333
"51",316,"CC1",13.5798018184397,11.5202063827278,10.9153174975106,NA,539,NA,883,NA,721,NA,3848,142.12099,72.66,0.81654674,4.944166,14.1393434424512,52.4458643526286,4,0.684394834755964,0.626717395899387,1.89171203871748,NA,NA,NA,4.75
"59",316,"Rye",14.5978664117773,10.9713974180957,14.7428304160998,NA,895,NA,1222,NA,1474,NA,2548,126.46646,72.13,2.047798,6.1038136,14.1402688535202,52.4465861372316,4,0.267031327697663,0.351724137931034,0.573656660613182,NA,NA,NA,20.2433333333333
"60",316,"CC1",20.0762729959682,13.2207437461972,10.7183580303638,NA,512,NA,918,NA,685,NA,3583,319.39972,72.4,2.6392844,6.86139,14.1404007015269,52.445933060942,4,0.679006560449859,0.592090646522995,1.8798650752465,NA,NA,NA,1.84666666666667
"66",316,"CC1",22.7395746156978,18.6041814869785,13.0549068727359,NA,611,NA,935,NA,765,NA,3374,90.0046,72.95,2.7193222,5.8198705,14.1410482157739,52.447947700967,0,0.630345494080696,0.566024599675099,1.92830746489283,NA,NA,NA,2.4
"73",316,"Rap",26.5103606656458,21.283163309115,21.1923079762305,NA,661,NA,908,NA,672,NA,4667,199.29083,74.02,3.0325541,5.8825154,14.1419920646236,52.448667792781,0,0.748267465817569,0.674260089686099,2.6686706746827,NA,NA,NA,11.12
"76",316,"WOats",18.7699726760485,13.5521841199107,9.95893106752627,NA,783,NA,988,NA,1203,NA,1894,146.28304,70.67,0.51658386,5.4020534,14.1421135609982,52.4467136260298,4,0.223119147562157,0.314365024288688,0.533096744329579,NA,NA,NA,29.28
"81",316,"Bar",23.2543880573971,20.6072362524469,22.154957752777,NA,697,NA,1015,NA,930,NA,2869,142.12816,74.82,2.448353,4.944151,14.1430031008383,52.4489951928179,0,0.510397473019216,0.477342945417096,1.50426687354538,NA,NA,NA,39.08
"89",316,"Rye",17.0280208260405,14.9774463667193,18.2070446784823,NA,822,NA,1054,NA,1294,NA,2196,128.29315,71.99,1.7330164,7.3268886,14.1439102253741,52.4484097848587,3,0.258452722063037,0.351384615384615,0.59404636459431,NA,NA,NA,18.0366666666667
"95",316,"WOats",14.519108511815,10.0524409336903,9.85359874266028,NA,794,NA,1147,NA,1420,NA,2203,159.44875,70.74,1.2238753,7.0242953,14.1452327097831,52.4485049887166,3,0.216119238200386,0.315223880597015,0.410463409519815,NA,NA,NA,13.7966666666667
